function,dim,F,CR,mode,best_fitness,iteration
function 3,30,0.0,0.1,MSR,162757.863270951,1
function 3,30,0.0,0.2,normal,136729.64549559218,1
function 3,30,0.0,0.2,PSR,170893.19564237972,1
function 3,30,0.0,0.2,MSR,137848.06861140174,1
function 3,30,0.0,0.3,normal,133351.13126827864,1
function 3,30,0.0,0.3,PSR,154121.89908410842,1
function 3,30,0.0,0.3,MSR,121152.71019600435,1
function 3,30,0.0,0.4,normal,188527.0059841279,1
function 3,30,0.0,0.4,PSR,162488.4562763092,1
function 3,30,0.0,0.4,MSR,124199.13710372646,1
function 3,30,0.0,0.5,normal,143404.70858396025,1
function 3,30,0.0,0.5,PSR,154287.22061065878,1
function 3,30,0.0,0.5,MSR,177859.22255789294,1
function 3,30,0.0,0.6,normal,164361.5817387129,1
function 3,30,0.0,0.6,PSR,139762.98126354392,1
function 3,30,0.0,0.6,MSR,152657.13302322195,1
function 3,30,0.0,0.7,normal,204430.527074938,1
function 3,30,0.0,0.7,PSR,166638.85256758405,1
function 3,30,0.0,0.7,MSR,155483.78262007065,1
function 3,30,0.0,0.8,normal,117297.77002029246,1
function 3,30,0.0,0.8,PSR,136782.72942807415,1
function 3,30,0.0,0.8,MSR,121865.87446812086,1
function 3,30,0.0,0.9,normal,117612.94762568816,1
function 3,30,0.0,0.9,PSR,114534.04340267718,1
function 3,30,0.0,0.9,MSR,126174.5002829365,1
function 3,30,0.0,1.0,normal,1458679.3979495363,1
function 3,30,0.0,1.0,PSR,90894.48051230573,1
function 3,30,0.0,1.0,MSR,97699.53554472738,1
function 3,30,0.1,0.0,normal,166449.83232227332,1
function 3,30,0.1,0.0,PSR,480705.6430169795,1
function 3,30,0.1,0.0,MSR,487995.6574120609,1
function 3,30,0.1,0.1,normal,143241.9835738078,1
function 3,30,0.1,0.1,PSR,122308.15446825503,1
function 3,30,0.1,0.1,MSR,168377.739541811,1
function 3,30,0.1,0.2,normal,181672.8582826591,1
function 3,30,0.1,0.2,PSR,184781.16502060695,1
function 3,30,0.1,0.2,MSR,200484.40005070178,1
function 3,30,0.1,0.3,normal,166111.03660151726,1
function 3,30,0.1,0.3,PSR,175693.43224835623,1
function 3,30,0.1,0.3,MSR,143001.38890847395,1
function 3,30,0.1,0.4,normal,111554.06118595815,1
function 3,30,0.1,0.4,PSR,134078.5117945742,1
function 3,30,0.1,0.4,MSR,140314.36531510254,1
function 3,30,0.1,0.5,normal,138254.78355702592,1
function 3,30,0.1,0.5,PSR,147553.05658851593,1
function 3,30,0.1,0.5,MSR,158190.05513105931,1
function 3,30,0.1,0.6,normal,162790.1188292355,1
function 3,30,0.1,0.6,PSR,174024.4085701586,1
function 3,30,0.1,0.6,MSR,141222.99433126408,1
function 3,30,0.1,0.7,normal,197108.98504024296,1
function 3,30,0.1,0.7,PSR,156886.77258933787,1
function 3,30,0.1,0.7,MSR,133006.77991274485,1
function 3,30,0.1,0.8,normal,142594.99598551678,1
function 3,30,0.1,0.8,PSR,177270.5445955225,1
function 3,30,0.1,0.8,MSR,168013.26185437912,1
function 3,30,0.1,0.9,normal,77896.09933674696,1
function 3,30,0.1,0.9,PSR,130297.4017742945,1
function 3,30,0.1,0.9,MSR,98127.6494746998,1
function 3,30,0.1,1.0,normal,164071.59353733048,1
function 3,30,0.1,1.0,PSR,114739.45565386816,1
function 3,30,0.1,1.0,MSR,120931.65574227934,1
function 3,30,0.2,0.0,normal,314403.15741980734,1
function 3,30,0.2,0.0,PSR,191113.6419635987,1
function 3,30,0.2,0.0,MSR,18248175.63159922,1
function 3,30,0.2,0.1,normal,126268.8252911351,1
function 3,30,0.2,0.1,PSR,175494.81003176604,1
function 3,30,0.2,0.1,MSR,169959.3176839756,1
function 3,30,0.2,0.2,normal,181437.14506168195,1
function 3,30,0.2,0.2,PSR,191747.85277202947,1
function 3,30,0.2,0.2,MSR,132221.61185190908,1
function 3,30,0.2,0.3,normal,174708.3423804057,1
function 3,30,0.2,0.3,PSR,156948.3553221047,1
function 3,30,0.2,0.3,MSR,132041.12300738384,1
function 3,30,0.2,0.4,normal,203102.66129344437,1
function 3,30,0.2,0.4,PSR,127348.82287827962,1
function 3,30,0.2,0.4,MSR,207086.6501780181,1
function 3,30,0.2,0.5,normal,148300.20663689324,1
function 3,30,0.2,0.5,PSR,159528.72714205508,1
function 3,30,0.2,0.5,MSR,132732.986364457,1
function 3,30,0.2,0.6,normal,147618.70529537825,1
function 3,30,0.2,0.6,PSR,126507.72096966665,1
function 3,30,0.2,0.6,MSR,142973.8655607127,1
function 3,30,0.2,0.7,normal,159811.60561262604,1
function 3,30,0.2,0.7,PSR,177915.61901750483,1
function 3,30,0.2,0.7,MSR,134582.88139426772,1
function 3,30,0.2,0.8,normal,109487.44328051679,1
function 3,30,0.2,0.8,PSR,166230.8053807821,1
function 3,30,0.2,0.8,MSR,155111.49909935734,1
function 3,30,0.2,0.9,normal,153196.95902971667,1
function 3,30,0.2,0.9,PSR,132557.21658294203,1
function 3,30,0.2,0.9,MSR,128762.5413678541,1
function 3,30,0.2,1.0,normal,89590.37470834197,1
function 3,30,0.2,1.0,PSR,73673.50570523634,1
function 3,30,0.2,1.0,MSR,77919.83696126033,1
function 3,30,0.3,0.0,normal,629301.1626360343,1
function 3,30,0.3,0.0,PSR,1841288.9871568843,1
function 3,30,0.3,0.0,MSR,97584476.47555265,1
function 3,30,0.3,0.1,normal,149136.7604550769,1
function 3,30,0.3,0.1,PSR,104224.58062702496,1
function 3,30,0.3,0.1,MSR,142792.45333364644,1
function 3,30,0.3,0.2,normal,169811.22337771222,1
function 3,30,0.3,0.2,PSR,161147.57728341318,1
function 3,30,0.3,0.2,MSR,144629.4601671295,1
function 3,30,0.3,0.3,normal,134079.9947277679,1
function 3,30,0.3,0.3,PSR,187406.78911791247,1
function 3,30,0.3,0.3,MSR,136197.81951860676,1
function 3,30,0.3,0.4,normal,163640.09665371562,1
function 3,30,0.3,0.4,PSR,129483.11864437173,1
function 3,30,0.3,0.4,MSR,170566.37692363007,1
function 3,30,0.3,0.5,normal,215515.64133196473,1
function 3,30,0.3,0.5,PSR,186945.3839739116,1
function 3,30,0.3,0.5,MSR,163833.02608179135,1
function 3,30,0.3,0.6,normal,137127.560557949,1
function 3,30,0.3,0.6,PSR,148462.71337189295,1
function 3,30,0.3,0.6,MSR,167554.6144778926,1
function 3,30,0.3,0.7,normal,198556.52848205727,1
function 3,30,0.3,0.7,PSR,165974.5547630621,1
function 3,30,0.3,0.7,MSR,128429.61875908049,1
function 3,30,0.3,0.8,normal,180111.04266506416,1
function 3,30,0.3,0.8,PSR,126683.40282761649,1
function 3,30,0.3,0.8,MSR,192472.58385747587,1
function 3,30,0.3,0.9,normal,134342.8114845492,1
function 3,30,0.3,0.9,PSR,117345.16427164711,1
function 3,30,0.3,0.9,MSR,130865.52494773004,1
function 3,30,0.3,1.0,normal,52629.24077427739,1
function 3,30,0.3,1.0,PSR,118256.40605051612,1
function 3,30,0.3,1.0,MSR,88710.14052949686,1
function 3,30,0.4,0.0,normal,257344.67098419074,1
function 3,30,0.4,0.0,PSR,263843.9325131169,1
function 3,30,0.4,0.0,MSR,322572.1786798856,1
function 3,30,0.4,0.1,normal,147254.80027198902,1
function 3,30,0.4,0.1,PSR,158684.31182722244,1
function 3,30,0.4,0.1,MSR,158781.2214241602,1
function 3,30,0.4,0.2,normal,131236.75261885917,1
function 3,30,0.4,0.2,PSR,109704.54507591325,1
function 3,30,0.4,0.2,MSR,151803.73823349384,1
function 3,30,0.4,0.3,normal,201133.8430020174,1
function 3,30,0.4,0.3,PSR,180709.79457136226,1
function 3,30,0.4,0.3,MSR,182283.92526841728,1
function 3,30,0.4,0.4,normal,149564.10657649866,1
function 3,30,0.4,0.4,PSR,185228.96848081975,1
function 3,30,0.4,0.4,MSR,161964.54588778008,1
function 3,30,0.4,0.5,normal,225046.0985180377,1
function 3,30,0.4,0.5,PSR,205132.61375822,1
function 3,30,0.4,0.5,MSR,172858.41918814467,1
function 3,30,0.4,0.6,normal,127388.95596513002,1
function 3,30,0.4,0.6,PSR,143358.83273692935,1
function 3,30,0.4,0.6,MSR,199376.4220996888,1
function 3,30,0.4,0.7,normal,208150.9370417766,1
function 3,30,0.4,0.7,PSR,170581.36949217095,1
function 3,30,0.4,0.7,MSR,168195.0984650399,1
function 3,30,0.4,0.8,normal,170961.92649108567,1
function 3,30,0.4,0.8,PSR,176538.02268062168,1
function 3,30,0.4,0.8,MSR,168879.2153480912,1
function 3,30,0.4,0.9,normal,184280.9458239824,1
function 3,30,0.4,0.9,PSR,117763.24916807025,1
function 3,30,0.4,0.9,MSR,135143.47418828122,1
function 3,30,0.4,1.0,normal,44507.18919097343,1
function 3,30,0.4,1.0,PSR,95428.18153585741,1
function 3,30,0.4,1.0,MSR,83205.72692549383,1
function 3,30,0.5,0.0,normal,303862.6258550153,1
function 3,30,0.5,0.0,PSR,197368.23482934778,1
function 3,30,0.5,0.0,MSR,1391071.1761163909,1
function 3,30,0.5,0.1,normal,91411.44287649945,1
function 3,30,0.5,0.1,PSR,145564.57772626265,1
function 3,30,0.5,0.1,MSR,118324.69231818833,1
function 3,30,0.5,0.2,normal,162864.02216645452,1
function 3,30,0.5,0.2,PSR,164760.96889247687,1
function 3,30,0.5,0.2,MSR,125307.75436488056,1
function 3,30,0.5,0.3,normal,166491.1376573301,1
function 3,30,0.5,0.3,PSR,207328.6749721096,1
function 3,30,0.5,0.3,MSR,107479.00947375546,1
function 3,30,0.5,0.4,normal,164673.43960876844,1
function 3,30,0.5,0.4,PSR,173278.21893511873,1
function 3,30,0.5,0.4,MSR,171435.02055128315,1
function 3,30,0.5,0.5,normal,170442.11448046597,1
function 3,30,0.5,0.5,PSR,148277.88542618885,1
function 3,30,0.5,0.5,MSR,162416.73014576777,1
function 3,30,0.5,0.6,normal,211108.21483696828,1
function 3,30,0.5,0.6,PSR,179865.48595214405,1
function 3,30,0.5,0.6,MSR,147543.23198063366,1
function 3,30,0.5,0.7,normal,159518.95678554973,1
function 3,30,0.5,0.7,PSR,192065.16937887136,1
function 3,30,0.5,0.7,MSR,169920.83163111404,1
function 3,30,0.5,0.8,normal,214250.46531128074,1
function 3,30,0.5,0.8,PSR,165887.4104749479,1
function 3,30,0.5,0.8,MSR,167680.91210957937,1
function 3,30,0.5,0.9,normal,154846.95445968825,1
function 3,30,0.5,0.9,PSR,159961.59706422992,1
function 3,30,0.5,0.9,MSR,157125.96206252734,1
function 3,30,0.5,1.0,normal,32075.990910747187,1
function 3,30,0.5,1.0,PSR,110068.47906231438,1
function 3,30,0.5,1.0,MSR,61673.84675926005,1
function 3,30,0.6,0.0,normal,3257064.018190053,1
function 3,30,0.6,0.0,PSR,5942463.610177001,1
function 3,30,0.6,0.0,MSR,303717.37637492054,1
function 3,30,0.6,0.1,normal,175683.27098794255,1
function 3,30,0.6,0.1,PSR,150520.51180797204,1
function 3,30,0.6,0.1,MSR,118759.10226906094,1
function 3,30,0.6,0.2,normal,201168.4947669937,1
function 3,30,0.6,0.2,PSR,135042.51092020178,1
function 3,30,0.6,0.2,MSR,167018.15860228825,1
function 3,30,0.6,0.3,normal,202695.6424748787,1
function 3,30,0.6,0.3,PSR,205442.8879497797,1
function 3,30,0.6,0.3,MSR,159120.8014452483,1
function 3,30,0.6,0.4,normal,171551.675503028,1
function 3,30,0.6,0.4,PSR,171200.588210112,1
function 3,30,0.6,0.4,MSR,185965.4699310328,1
function 3,30,0.6,0.5,normal,191976.2666963036,1
function 3,30,0.6,0.5,PSR,151929.55147629257,1
function 3,30,0.6,0.5,MSR,167668.07870789006,1
function 3,30,0.6,0.6,normal,274754.0740896529,1
function 3,30,0.6,0.6,PSR,171650.7970050734,1
function 3,30,0.6,0.6,MSR,214074.18283127257,1
function 3,30,0.6,0.7,normal,190054.8740878435,1
function 3,30,0.6,0.7,PSR,153339.27952416433,1
function 3,30,0.6,0.7,MSR,176281.25441359266,1
function 3,30,0.6,0.8,normal,220443.41321888738,1
function 3,30,0.6,0.8,PSR,143019.17945890684,1
function 3,30,0.6,0.8,MSR,185704.0749722963,1
function 3,30,0.6,0.9,normal,198230.33604566296,1
function 3,30,0.6,0.9,PSR,95159.81255674368,1
function 3,30,0.6,0.9,MSR,131032.65290009542,1
function 3,30,0.6,1.0,normal,114847.62058250727,1
function 3,30,0.6,1.0,PSR,76507.436812465,1
function 3,30,0.6,1.0,MSR,98411.53911855692,1
function 3,30,0.7,0.0,normal,340884.2404210583,1
function 3,30,0.7,0.0,PSR,2826136.720914351,1
function 3,30,0.7,0.0,MSR,1168156.034834505,1
function 3,30,0.7,0.1,normal,128678.16135953234,1
function 3,30,0.7,0.1,PSR,173652.70936509635,1
function 3,30,0.7,0.1,MSR,133102.48094022693,1
function 3,30,0.7,0.2,normal,177094.50071095795,1
function 3,30,0.7,0.2,PSR,171623.12990050425,1
function 3,30,0.7,0.2,MSR,212675.96342773736,1
function 3,30,0.7,0.3,normal,215759.80660773604,1
function 3,30,0.7,0.3,PSR,157146.39036023297,1
function 3,30,0.7,0.3,MSR,170111.30485711852,1
function 3,30,0.7,0.4,normal,231025.6882828212,1
function 3,30,0.7,0.4,PSR,161379.9669365213,1
function 3,30,0.7,0.4,MSR,144311.14570283057,1
function 3,30,0.7,0.5,normal,294871.2610047807,1
function 3,30,0.7,0.5,PSR,168633.96172063073,1
function 3,30,0.7,0.5,MSR,145271.05253280196,1
function 3,30,0.7,0.6,normal,181293.82566155316,1
function 3,30,0.7,0.6,PSR,197050.8913410626,1
function 3,30,0.7,0.6,MSR,143348.4418225295,1
function 3,30,0.7,0.7,normal,212628.47723044004,1
function 3,30,0.7,0.7,PSR,165374.881148252,1
function 3,30,0.7,0.7,MSR,186704.7812234801,1
function 3,30,0.7,0.8,normal,261253.8249963281,1
function 3,30,0.7,0.8,PSR,211671.60951841873,1
function 3,30,0.7,0.8,MSR,155411.1461760112,1
function 3,30,0.7,0.9,normal,201015.4978519571,1
function 3,30,0.7,0.9,PSR,136542.1669628673,1
function 3,30,0.7,0.9,MSR,130392.04930911452,1
function 3,30,0.7,1.0,normal,185411.0592629302,1
function 3,30,0.7,1.0,PSR,109475.2784882784,1
function 3,30,0.7,1.0,MSR,87966.37908801467,1
function 3,30,0.8,0.0,normal,2642270.0808134493,1
function 3,30,0.8,0.0,PSR,1903399.5286941363,1
function 3,30,0.8,0.0,MSR,856689.4433067355,1
function 3,30,0.8,0.1,normal,193320.98917400147,1
function 3,30,0.8,0.1,PSR,137403.73820598784,1
function 3,30,0.8,0.1,MSR,165732.6640048096,1
function 3,30,0.8,0.2,normal,149696.67666795378,1
function 3,30,0.8,0.2,PSR,191980.44328010528,1
function 3,30,0.8,0.2,MSR,179978.10486290112,1
function 3,30,0.8,0.3,normal,186195.89360164906,1
function 3,30,0.8,0.3,PSR,171538.78251889802,1
function 3,30,0.8,0.3,MSR,155044.68332929013,1
function 3,30,0.8,0.4,normal,268050.5100276368,1
function 3,30,0.8,0.4,PSR,195907.6728547583,1
function 3,30,0.8,0.4,MSR,194826.76155178755,1
function 3,30,0.8,0.5,normal,268281.7758515621,1
function 3,30,0.8,0.5,PSR,190617.03541699122,1
function 3,30,0.8,0.5,MSR,175311.51631973044,1
function 3,30,0.8,0.6,normal,303747.16345215833,1
function 3,30,0.8,0.6,PSR,155016.14548475447,1
function 3,30,0.8,0.6,MSR,150998.02226737162,1
function 3,30,0.8,0.7,normal,262313.2541051068,1
function 3,30,0.8,0.7,PSR,207059.32473882378,1
function 3,30,0.8,0.7,MSR,212594.21766667927,1
function 3,30,0.8,0.8,normal,235238.98730370493,1
function 3,30,0.8,0.8,PSR,188878.57167680954,1
function 3,30,0.8,0.8,MSR,170103.5695117935,1
function 3,30,0.8,0.9,normal,265983.71331331274,1
function 3,30,0.8,0.9,PSR,121501.64355769713,1
function 3,30,0.8,0.9,MSR,169976.05177038888,1
function 3,30,0.8,1.0,normal,188434.48252299137,1
function 3,30,0.8,1.0,PSR,70162.67904649461,1
function 3,30,0.8,1.0,MSR,99566.00403635521,1
function 3,30,0.9,0.0,normal,241018.20632900984,1
function 3,30,0.9,0.0,PSR,212705.28606753013,1
function 3,30,0.9,0.0,MSR,156595.7270361349,1
function 3,30,0.9,0.1,normal,197295.75443500167,1
function 3,30,0.9,0.1,PSR,140741.2729613177,1
function 3,30,0.9,0.1,MSR,156163.7563592401,1
function 3,30,0.9,0.2,normal,159372.84169251277,1
function 3,30,0.9,0.2,PSR,166078.87026655173,1
function 3,30,0.9,0.2,MSR,168459.50080337303,1
function 3,30,0.9,0.3,normal,216261.56905258144,1
function 3,30,0.9,0.3,PSR,227146.16548844488,1
function 3,30,0.9,0.3,MSR,173863.42160921617,1
function 3,30,0.9,0.4,normal,210330.89740673223,1
function 3,30,0.9,0.4,PSR,196979.385055628,1
function 3,30,0.9,0.4,MSR,156826.88330717865,1
function 3,30,0.9,0.5,normal,272157.5208515501,1
function 3,30,0.9,0.5,PSR,210212.50868538665,1
function 3,30,0.9,0.5,MSR,232094.68831411013,1
function 3,30,0.9,0.6,normal,245756.2674098507,1
function 3,30,0.9,0.6,PSR,233240.66445199057,1
function 3,30,0.9,0.6,MSR,152865.87667083653,1
function 3,30,0.9,0.7,normal,268736.0765137901,1
function 3,30,0.9,0.7,PSR,199325.86286896621,1
function 3,30,0.9,0.7,MSR,155558.6382733459,1
function 3,30,0.9,0.8,normal,228946.23564062416,1
function 3,30,0.9,0.8,PSR,209721.31171981405,1
function 3,30,0.9,0.8,MSR,174021.65221988017,1
function 3,30,0.9,0.9,normal,175052.2782357511,1
function 3,30,0.9,0.9,PSR,208577.21215306004,1
function 3,30,0.9,0.9,MSR,132487.52423158375,1
function 3,30,0.9,1.0,normal,314655.82924935373,1
function 3,30,0.9,1.0,PSR,100836.98489112103,1
function 3,30,0.9,1.0,MSR,117357.8437704191,1
function 3,30,1.0,0.0,normal,210408.5412200953,1
function 3,30,1.0,0.0,PSR,229230.24855013663,1
function 3,30,1.0,0.0,MSR,366548.1909757708,1
function 3,30,1.0,0.1,normal,157276.98319538528,1
function 3,30,1.0,0.1,PSR,160564.8161682619,1
function 3,30,1.0,0.1,MSR,135536.85081989065,1
function 3,30,1.0,0.2,normal,177825.5248654077,1
function 3,30,1.0,0.2,PSR,167893.82341467886,1
function 3,30,1.0,0.2,MSR,199629.42271911047,1
function 3,30,1.0,0.3,normal,241687.09761848074,1
function 3,30,1.0,0.3,PSR,176982.61282764934,1
function 3,30,1.0,0.3,MSR,195409.2170822083,1
function 3,30,1.0,0.4,normal,208751.9079569181,1
function 3,30,1.0,0.4,PSR,180561.3713507207,1
function 3,30,1.0,0.4,MSR,222734.61438751617,1
function 3,30,1.0,0.5,normal,221522.86366658896,1
function 3,30,1.0,0.5,PSR,162392.13051327638,1
function 3,30,1.0,0.5,MSR,150337.6360919125,1
function 3,30,1.0,0.6,normal,278566.82527304295,1
function 3,30,1.0,0.6,PSR,195611.08055088355,1
function 3,30,1.0,0.6,MSR,222074.67150379592,1
function 3,30,1.0,0.7,normal,242371.08243054716,1
function 3,30,1.0,0.7,PSR,182359.81072972078,1
function 3,30,1.0,0.7,MSR,220680.40390431613,1
function 3,30,1.0,0.8,normal,221250.49590554065,1
function 3,30,1.0,0.8,PSR,198567.08137829858,1
function 3,30,1.0,0.8,MSR,200748.2090971924,1
function 3,30,1.0,0.9,normal,297783.0856487388,1
function 3,30,1.0,0.9,PSR,148500.13087627568,1
function 3,30,1.0,0.9,MSR,117052.93845514354,1
function 3,30,1.0,1.0,normal,268518.5584026004,1
function 3,30,1.0,1.0,PSR,84387.36789047015,1
function 3,30,1.0,1.0,MSR,86303.98802733394,1
function 4,10,0.0,0.0,normal,890.7472747012541,1
function 4,10,0.0,0.0,PSR,1870.2756959999374,1
function 4,10,0.0,0.0,MSR,1516.010965908473,1
function 4,10,0.0,0.1,normal,428.3580140932844,1
function 4,10,0.0,0.1,PSR,459.7170466751896,1
function 4,10,0.0,0.1,MSR,461.68631538100504,1
function 4,10,0.0,0.2,normal,422.48162035625023,1
function 4,10,0.0,0.2,PSR,424.7929667772572,1
function 4,10,0.0,0.2,MSR,408.6390681379171,1
function 4,10,0.0,0.3,normal,414.00343645370947,1
function 4,10,0.0,0.3,PSR,410.3490936234651,1
function 4,10,0.0,0.3,MSR,408.2082656691714,1
function 4,10,0.0,0.4,normal,426.9437144747969,1
function 4,10,0.0,0.4,PSR,408.030697979133,1
function 4,10,0.0,0.4,MSR,407.546304839155,1
function 4,10,0.0,0.5,normal,409.07313506933735,1
function 4,10,0.0,0.5,PSR,407.7955008097247,1
function 4,10,0.0,0.5,MSR,408.18619796878363,1
function 4,10,0.0,0.6,normal,428.57520165072407,1
function 4,10,0.0,0.6,PSR,407.9285782190475,1
function 4,10,0.0,0.6,MSR,408.0640343649332,1
function 4,10,0.0,0.7,normal,466.627305012393,1
function 4,10,0.0,0.7,PSR,406.5113204638309,1
function 4,10,0.0,0.7,MSR,406.8584827224475,1
function 4,10,0.0,0.8,normal,442.7389861136172,1
function 4,10,0.0,0.8,PSR,409.49911331677964,1
function 4,10,0.0,0.8,MSR,408.5049887045003,1
function 4,10,0.0,0.9,normal,456.563971870849,1
function 4,10,0.0,0.9,PSR,407.8802446122398,1
function 4,10,0.0,0.9,MSR,500.6082067855001,1
function 4,10,0.0,1.0,normal,3072.4790331610016,1
function 4,10,0.0,1.0,PSR,1038.119305552696,1
function 4,10,0.0,1.0,MSR,501.0832592417504,1
function 4,10,0.1,0.0,normal,1696.5948237592863,1
function 4,10,0.1,0.0,PSR,1806.6325352814786,1
function 4,10,0.1,0.0,MSR,1354.6371211781907,1
function 4,10,0.1,0.1,normal,436.74605698161287,1
function 4,10,0.1,0.1,PSR,430.56379426752426,1
function 4,10,0.1,0.1,MSR,438.4223415010328,1
function 4,10,0.1,0.2,normal,408.5508076058028,1
function 4,10,0.1,0.2,PSR,411.4833840392083,1
function 4,10,0.1,0.2,MSR,409.57228111288504,1
function 4,10,0.1,0.3,normal,408.0009463849436,1
function 4,10,0.1,0.3,PSR,407.53936546048374,1
function 4,10,0.1,0.3,MSR,409.75484628662423,1
function 4,10,0.1,0.4,normal,407.4948487270889,1
function 4,10,0.1,0.4,PSR,407.35366359410295,1
function 4,10,0.1,0.4,MSR,408.0816206035244,1
function 4,10,0.1,0.5,normal,407.1159207230395,1
function 4,10,0.1,0.5,PSR,405.7536958941088,1
function 4,10,0.1,0.5,MSR,405.8199998669541,1
function 4,10,0.1,0.6,normal,405.7366762893534,1
function 4,10,0.1,0.6,PSR,405.9941793753239,1
function 4,10,0.1,0.6,MSR,407.57766762477814,1
function 4,10,0.1,0.7,normal,406.65033955453464,1
function 4,10,0.1,0.7,PSR,406.85171781333,1
function 4,10,0.1,0.7,MSR,407.4194718927091,1
function 4,10,0.1,0.8,normal,410.45993841582407,1
function 4,10,0.1,0.8,PSR,405.112035083283,1
function 4,10,0.1,0.8,MSR,406.21105749522536,1
function 4,10,0.1,0.9,normal,429.47999983970766,1
function 4,10,0.1,0.9,PSR,415.2303608024785,1
function 4,10,0.1,0.9,MSR,407.1424878203459,1
function 4,10,0.1,1.0,normal,676.0711563743006,1
function 4,10,0.1,1.0,PSR,591.140843584307,1
function 4,10,0.1,1.0,MSR,914.8565376811335,1
function 4,10,0.2,0.0,normal,1622.230782109977,1
function 4,10,0.2,0.0,PSR,933.6828686313299,1
function 4,10,0.2,0.0,MSR,1040.7451314252708,1
function 4,10,0.2,0.1,normal,434.1778021125466,1
function 4,10,0.2,0.1,PSR,416.9221475481057,1
function 4,10,0.2,0.1,MSR,427.92233243081733,1
function 4,10,0.2,0.2,normal,419.7901546130766,1
function 4,10,0.2,0.2,PSR,409.49351877741327,1
function 4,10,0.2,0.2,MSR,409.1840401525567,1
function 4,10,0.2,0.3,normal,409.4884810091414,1
function 4,10,0.2,0.3,PSR,406.4937140980132,1
function 4,10,0.2,0.3,MSR,409.4558994653899,1
function 4,10,0.2,0.4,normal,407.82894419412526,1
function 4,10,0.2,0.4,PSR,407.1132296282656,1
function 4,10,0.2,0.4,MSR,405.8829807118949,1
function 4,10,0.2,0.5,normal,406.8064128845866,1
function 4,10,0.2,0.5,PSR,407.81832930944887,1
function 4,10,0.2,0.5,MSR,406.621684529154,1
function 4,10,0.2,0.6,normal,406.6606318562493,1
function 4,10,0.2,0.6,PSR,405.23302835552994,1
function 4,10,0.2,0.6,MSR,406.8908610190558,1
function 4,10,0.2,0.7,normal,406.88652708764795,1
function 4,10,0.2,0.7,PSR,407.09049429032535,1
function 4,10,0.2,0.7,MSR,407.44543299340404,1
function 4,10,0.2,0.8,normal,406.90947643929974,1
function 4,10,0.2,0.8,PSR,428.6287826017758,1
function 4,10,0.2,0.8,MSR,407.5531030251212,1
function 4,10,0.2,0.9,normal,410.19662370854485,1
function 4,10,0.2,0.9,PSR,426.84556958427675,1
function 4,10,0.2,0.9,MSR,405.97726628985,1
function 4,10,0.2,1.0,normal,447.78855943406586,1
function 4,10,0.2,1.0,PSR,1065.1588851246006,1
function 4,10,0.2,1.0,MSR,891.9969710754231,1
function 4,10,0.3,0.0,normal,742.4201717106868,1
function 4,10,0.3,0.0,PSR,1079.982131195859,1
function 4,10,0.3,0.0,MSR,1304.1084797147967,1
function 4,10,0.3,0.1,normal,434.9155739087494,1
function 4,10,0.3,0.1,PSR,431.9308325133212,1
function 4,10,0.3,0.1,MSR,421.95666536264116,1
function 4,10,0.3,0.2,normal,412.7509041106485,1
function 4,10,0.3,0.2,PSR,409.2573640215947,1
function 4,10,0.3,0.2,MSR,408.54294121479853,1
function 4,10,0.3,0.3,normal,411.7739622263224,1
function 4,10,0.3,0.3,PSR,407.96292872073116,1
function 4,10,0.3,0.3,MSR,407.4628196355509,1
function 4,10,0.3,0.4,normal,408.0355097640606,1
function 4,10,0.3,0.4,PSR,408.0872287205181,1
function 4,10,0.3,0.4,MSR,407.4067853724648,1
function 4,10,0.3,0.5,normal,407.6093541450655,1
function 4,10,0.3,0.5,PSR,408.69248410305096,1
function 4,10,0.3,0.5,MSR,408.9709541867735,1
function 4,10,0.3,0.6,normal,407.03722862003417,1
function 4,10,0.3,0.6,PSR,407.081355757616,1
function 4,10,0.3,0.6,MSR,406.9742980709976,1
function 4,10,0.3,0.7,normal,406.974234180392,1
function 4,10,0.3,0.7,PSR,407.197048935561,1
function 4,10,0.3,0.7,MSR,406.2208281255378,1
function 4,10,0.3,0.8,normal,406.8183927251806,1
function 4,10,0.3,0.8,PSR,409.2923352717614,1
function 4,10,0.3,0.8,MSR,406.4233500770284,1
function 4,10,0.3,0.9,normal,406.6354431347085,1
function 4,10,0.3,0.9,PSR,411.5772256794872,1
function 4,10,0.3,0.9,MSR,433.3337602084416,1
function 4,10,0.3,1.0,normal,424.4906931757733,1
function 4,10,0.3,1.0,PSR,452.2844579572086,1
function 4,10,0.3,1.0,MSR,650.7653793780605,1
function 4,10,0.4,0.0,normal,1388.1560126951294,1
function 4,10,0.4,0.0,PSR,1280.4040265069464,1
function 4,10,0.4,0.0,MSR,1797.6891323491482,1
function 4,10,0.4,0.1,normal,437.09302603080107,1
function 4,10,0.4,0.1,PSR,430.4441601293447,1
function 4,10,0.4,0.1,MSR,435.83508761021017,1
function 4,10,0.4,0.2,normal,424.0607573375037,1
function 4,10,0.4,0.2,PSR,413.8238753333957,1
function 4,10,0.4,0.2,MSR,411.5636766892871,1
function 4,10,0.4,0.3,normal,409.3316250641683,1
function 4,10,0.4,0.3,PSR,407.6606022479459,1
function 4,10,0.4,0.3,MSR,408.45762302159903,1
function 4,10,0.4,0.4,normal,407.9652672653755,1
function 4,10,0.4,0.4,PSR,406.83301784190195,1
function 4,10,0.4,0.4,MSR,408.3930879777476,1
