function,dim,F,CR,mode,best_fitness,iteration
function 1,10,0.3,0.0,PSR,74218520172.8768,1
function 1,10,0.3,0.0,MSR,125061752514.75722,1
function 1,10,0.3,0.1,normal,648493278.9276166,1
function 1,10,0.3,0.1,PSR,1192057310.249297,1
function 1,10,0.3,0.1,MSR,1673584251.162535,1
function 1,10,0.3,0.2,normal,128477997.35598943,1
function 1,10,0.3,0.2,PSR,38599824.28707684,1
function 1,10,0.3,0.2,MSR,76519475.57199435,1
function 1,10,0.3,0.3,normal,34281225.206719734,1
function 1,10,0.3,0.3,PSR,4450287.642306913,1
function 1,10,0.3,0.3,MSR,21231723.012918025,1
function 1,10,0.3,0.4,normal,20813041.543613274,1
function 1,10,0.3,0.4,PSR,14403008.928277478,1
function 1,10,0.3,0.4,MSR,31738706.655107748,1
function 1,10,0.3,0.5,normal,3528848.180890743,1
function 1,10,0.3,0.5,PSR,820670.5731283127,1
function 1,10,0.3,0.5,MSR,126942.04043559579,1
function 1,10,0.3,0.6,normal,53290984.056633905,1
function 1,10,0.3,0.6,PSR,830520.0929567058,1
function 1,10,0.3,0.6,MSR,3311789.524236034,1
function 1,10,0.3,0.7,normal,994073.677068063,1
function 1,10,0.3,0.7,PSR,614498243.177614,1
function 1,10,0.3,0.7,MSR,1224489.4802688297,1
function 1,10,0.3,0.8,normal,1434532.9693843361,1
function 1,10,0.3,0.8,PSR,1057552.994588654,1
function 1,10,0.3,0.8,MSR,18971331.841273014,1
function 1,10,0.3,0.9,normal,219477.79631566818,1
function 1,10,0.3,0.9,PSR,156375302.39187875,1
function 1,10,0.3,0.9,MSR,89949428.61533864,1
function 1,10,0.3,1.0,normal,460803170.0310446,1
function 1,10,0.3,1.0,PSR,64307760266.8959,1
function 1,10,0.3,1.0,MSR,6797826026.370001,1
function 1,10,0.4,0.0,normal,77453525683.56195,1
function 1,10,0.4,0.0,PSR,183851251123.7897,1
function 1,10,0.4,0.0,MSR,165300413832.17264,1
function 1,10,0.4,0.1,normal,1245940578.8927813,1
function 1,10,0.4,0.1,PSR,756025338.0489142,1
function 1,10,0.4,0.1,MSR,440462690.9777986,1
function 1,10,0.4,0.2,normal,291892734.67682654,1
function 1,10,0.4,0.2,PSR,40011868.11958956,1
function 1,10,0.4,0.2,MSR,51496633.6058862,1
function 1,10,0.4,0.3,normal,166139488.3053479,1
function 1,10,0.4,0.3,PSR,19345242.669680353,1
function 1,10,0.4,0.3,MSR,14754795.299171334,1
function 1,10,0.4,0.4,normal,63732710.92288596,1
function 1,10,0.4,0.4,PSR,26072869.849987186,1
function 1,10,0.4,0.4,MSR,5221653.908660176,1
function 1,10,0.4,0.5,normal,118454446.15703826,1
function 1,10,0.4,0.5,PSR,18455430.770716872,1
